Question,Answer
Artifactory staging build is failing with error saying SNAPSHOT detected in pom.xml file?,"If you find issue with Artifactory staging where, error says something like this:
[RELEASE] Release build triggered  > /apps/dftjenkins/bin/git config --get remote.origin.url # timeout=10  > /apps/dftjenkins/bin/git config core.sparsecheckout # timeout=10  > /apps/dftjenkins/bin/git checkout -f GDR_Q2FY17_LAE [RELEASE] Changing POMs to release version [RELEASE] ERROR: Snapshot detected in file '/apps/dftjenkins/jenkins_node/workspace/IT-CVC-Cisco_Commerce/CCW/PRICING/GDR/CCWPRICINGGDRDISCEN/discen-Tomcat7/lae/pom.xml': com.cisco.gdr.ui:GDRSetupUI:16.11.06-SNAPSHOT

**) If you are having multi-stack project configured in Jenkins, you should never configure the job with pre-build step for any renaming of groupID or ArtifactID during the run time of build.
**) Your POM should have exact the same definition of groupID and artifactID, as provisioned in Stack."
Error: SNAPSHOT detected in pom.xml file,"If you find issue with Artifactory staging where, error says something like this:
[RELEASE] Release build triggered  > /apps/dftjenkins/bin/git config --get remote.origin.url # timeout=10  > /apps/dftjenkins/bin/git config core.sparsecheckout # timeout=10  > /apps/dftjenkins/bin/git checkout -f GDR_Q2FY17_LAE [RELEASE] Changing POMs to release version [RELEASE] ERROR: Snapshot detected in file '/apps/dftjenkins/jenkins_node/workspace/IT-CVC-Cisco_Commerce/CCW/PRICING/GDR/CCWPRICINGGDRDISCEN/discen-Tomcat7/lae/pom.xml': com.cisco.gdr.ui:GDRSetupUI:16.11.06-SNAPSHOT

**) If you are having multi-stack project configured in Jenkins, you should never configure the job with pre-build step for any renaming of groupID or ArtifactID during the run time of build.
**) Your POM should have exact the same definition of groupID and artifactID, as provisioned in Stack."
SNAPSHOT issue in pom.xml,"If you find issue with Artifactory staging where, error says something like this:
[RELEASE] Release build triggered  > /apps/dftjenkins/bin/git config --get remote.origin.url # timeout=10  > /apps/dftjenkins/bin/git config core.sparsecheckout # timeout=10  > /apps/dftjenkins/bin/git checkout -f GDR_Q2FY17_LAE [RELEASE] Changing POMs to release version [RELEASE] ERROR: Snapshot detected in file '/apps/dftjenkins/jenkins_node/workspace/IT-CVC-Cisco_Commerce/CCW/PRICING/GDR/CCWPRICINGGDRDISCEN/discen-Tomcat7/lae/pom.xml': com.cisco.gdr.ui:GDRSetupUI:16.11.06-SNAPSHOT

**) If you are having multi-stack project configured in Jenkins, you should never configure the job with pre-build step for any renaming of groupID or ArtifactID during the run time of build.
**) Your POM should have exact the same definition of groupID and artifactID, as provisioned in Stack."
Artifact staging build is failing because of snapshot in pom file,"If you find issue with Artifactory staging where, error says something like this:
[RELEASE] Release build triggered  > /apps/dftjenkins/bin/git config --get remote.origin.url # timeout=10  > /apps/dftjenkins/bin/git config core.sparsecheckout # timeout=10  > /apps/dftjenkins/bin/git checkout -f GDR_Q2FY17_LAE [RELEASE] Changing POMs to release version [RELEASE] ERROR: Snapshot detected in file '/apps/dftjenkins/jenkins_node/workspace/IT-CVC-Cisco_Commerce/CCW/PRICING/GDR/CCWPRICINGGDRDISCEN/discen-Tomcat7/lae/pom.xml': com.cisco.gdr.ui:GDRSetupUI:16.11.06-SNAPSHOT

**) If you are having multi-stack project configured in Jenkins, you should never configure the job with pre-build step for any renaming of groupID or ArtifactID during the run time of build.
**) Your POM should have exact the same definition of groupID and artifactID, as provisioned in Stack."
Issue with artifactory stage build with message snapshot detected in pom file,"If you find issue with Artifactory staging where, error says something like this:
[RELEASE] Release build triggered  > /apps/dftjenkins/bin/git config --get remote.origin.url # timeout=10  > /apps/dftjenkins/bin/git config core.sparsecheckout # timeout=10  > /apps/dftjenkins/bin/git checkout -f GDR_Q2FY17_LAE [RELEASE] Changing POMs to release version [RELEASE] ERROR: Snapshot detected in file '/apps/dftjenkins/jenkins_node/workspace/IT-CVC-Cisco_Commerce/CCW/PRICING/GDR/CCWPRICINGGDRDISCEN/discen-Tomcat7/lae/pom.xml': com.cisco.gdr.ui:GDRSetupUI:16.11.06-SNAPSHOT

**) If you are having multi-stack project configured in Jenkins, you should never configure the job with pre-build step for any renaming of groupID or ArtifactID during the run time of build.
**) Your POM should have exact the same definition of groupID and artifactID, as provisioned in Stack."
Build is failing due to web.xml attribute is required,"User need to specify webxml tag under configuration in pom.xml.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_webxml_attribute_is_required for further details"
web.xml issue,"User need to specify webxml tag under configuration in pom.xml.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_webxml_attribute_is_required for further details"
build failed because of web xml attribute,"User need to specify webxml tag under configuration in pom.xml.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_webxml_attribute_is_required for further details"
Is web. Xml attribute required during build,"User need to specify webxml tag under configuration in pom.xml.
Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_webxml_attribute_is_required for further details"
"Jenkins job build compilation fails saying compilation error, what to do?","There could be many reasons for this compilation error in your Jenkins job build. it can be possible due to:
**) Actual Code Compilation
There might be the chance when your actual code is not getting compiled properly, and so is the reason it's getting failed in Jenkins too. Best approach will be, always try to execute your build in your local machine/workspace before triggering the build from Jenkins for compiling new changes. Sometimes, you had to wipe out your .m2 repository content from your workspace to make sure, all your dependent package is getting downloaded during the build.

**) Missing dependent package
There might be a chance when your defined dependency didn't get downloaded during the build, either it was not available to download, or due to connection drop. Best approach will be to check the error for the missing dependency jar file and verify from the repository it's getting download from If it's due to connection drop, then you may want to wipe out your workspace and trigger a clean build. 

**) Corrupted dependent package got downloaded during build compilation
Quick workaround will be to wipe-out the workspace and trigger a fresh build, this will make sure that your broken package is getting downloaded properly this time
NOTE:  There might be chance that the .m2 repository of the Jenkins nodes got affected with dependents content and it's not getting fixed by workspace wipeout. During those scenarios, just follow below instaructions:
Go to Jenkins Job configuration page, Build section where maven configuration has been defined, click on Advanced option and select ""Use Private Maven Repository"", select option as ""Local to Workspace"" from drop down list, and save the configuration. Now trigger a new build post wiping out workspace. Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_job_build_compilation_fails_saying_compilation_error_what_to_do for further details
"
Jenkins build compilation error,"There could be many reasons for this compilation error in your Jenkins job build. it can be possible due to:
**) Actual Code Compilation
There might be the chance when your actual code is not getting compiled properly, and so is the reason it's getting failed in Jenkins too. Best approach will be, always try to execute your build in your local machine/workspace before triggering the build from Jenkins for compiling new changes. Sometimes, you had to wipe out your .m2 repository content from your workspace to make sure, all your dependent package is getting downloaded during the build.

**) Missing dependent package
There might be a chance when your defined dependency didn't get downloaded during the build, either it was not available to download, or due to connection drop. Best approach will be to check the error for the missing dependency jar file and verify from the repository it's getting download from If it's due to connection drop, then you may want to wipe out your workspace and trigger a clean build. 

**) Corrupted dependent package got downloaded during build compilation
Quick workaround will be to wipe-out the workspace and trigger a fresh build, this will make sure that your broken package is getting downloaded properly this time
NOTE:  There might be chance that the .m2 repository of the Jenkins nodes got affected with dependents content and it's not getting fixed by workspace wipeout. During those scenarios, just follow below instaructions:
Go to Jenkins Job configuration page, Build section where maven configuration has been defined, click on Advanced option and select ""Use Private Maven Repository"", select option as ""Local to Workspace"" from drop down list, and save the configuration. Now trigger a new build post wiping out workspace. Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_job_build_compilation_fails_saying_compilation_error_what_to_do for further details
"
Compilation failing with error,"There could be many reasons for this compilation error in your Jenkins job build. it can be possible due to:
**) Actual Code Compilation
There might be the chance when your actual code is not getting compiled properly, and so is the reason it's getting failed in Jenkins too. Best approach will be, always try to execute your build in your local machine/workspace before triggering the build from Jenkins for compiling new changes. Sometimes, you had to wipe out your .m2 repository content from your workspace to make sure, all your dependent package is getting downloaded during the build.

**) Missing dependent package
There might be a chance when your defined dependency didn't get downloaded during the build, either it was not available to download, or due to connection drop. Best approach will be to check the error for the missing dependency jar file and verify from the repository it's getting download from If it's due to connection drop, then you may want to wipe out your workspace and trigger a clean build. 

**) Corrupted dependent package got downloaded during build compilation
Quick workaround will be to wipe-out the workspace and trigger a fresh build, this will make sure that your broken package is getting downloaded properly this time
NOTE:  There might be chance that the .m2 repository of the Jenkins nodes got affected with dependents content and it's not getting fixed by workspace wipeout. During those scenarios, just follow below instaructions:
Go to Jenkins Job configuration page, Build section where maven configuration has been defined, click on Advanced option and select ""Use Private Maven Repository"", select option as ""Local to Workspace"" from drop down list, and save the configuration. Now trigger a new build post wiping out workspace. Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_job_build_compilation_fails_saying_compilation_error_what_to_do for further details
"
Build compilation failing,"There could be many reasons for this compilation error in your Jenkins job build. it can be possible due to:
**) Actual Code Compilation
There might be the chance when your actual code is not getting compiled properly, and so is the reason it's getting failed in Jenkins too. Best approach will be, always try to execute your build in your local machine/workspace before triggering the build from Jenkins for compiling new changes. Sometimes, you had to wipe out your .m2 repository content from your workspace to make sure, all your dependent package is getting downloaded during the build.

**) Missing dependent package
There might be a chance when your defined dependency didn't get downloaded during the build, either it was not available to download, or due to connection drop. Best approach will be to check the error for the missing dependency jar file and verify from the repository it's getting download from If it's due to connection drop, then you may want to wipe out your workspace and trigger a clean build. 

**) Corrupted dependent package got downloaded during build compilation
Quick workaround will be to wipe-out the workspace and trigger a fresh build, this will make sure that your broken package is getting downloaded properly this time
NOTE:  There might be chance that the .m2 repository of the Jenkins nodes got affected with dependents content and it's not getting fixed by workspace wipeout. During those scenarios, just follow below instaructions:
Go to Jenkins Job configuration page, Build section where maven configuration has been defined, click on Advanced option and select ""Use Private Maven Repository"", select option as ""Local to Workspace"" from drop down list, and save the configuration. Now trigger a new build post wiping out workspace. Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_job_build_compilation_fails_saying_compilation_error_what_to_do for further details
"
Jenkins job build compilation error,"There could be many reasons for this compilation error in your Jenkins job build. it can be possible due to:
**) Actual Code Compilation
There might be the chance when your actual code is not getting compiled properly, and so is the reason it's getting failed in Jenkins too. Best approach will be, always try to execute your build in your local machine/workspace before triggering the build from Jenkins for compiling new changes. Sometimes, you had to wipe out your .m2 repository content from your workspace to make sure, all your dependent package is getting downloaded during the build.

**) Missing dependent package
There might be a chance when your defined dependency didn't get downloaded during the build, either it was not available to download, or due to connection drop. Best approach will be to check the error for the missing dependency jar file and verify from the repository it's getting download from If it's due to connection drop, then you may want to wipe out your workspace and trigger a clean build. 

**) Corrupted dependent package got downloaded during build compilation
Quick workaround will be to wipe-out the workspace and trigger a fresh build, this will make sure that your broken package is getting downloaded properly this time
NOTE:  There might be chance that the .m2 repository of the Jenkins nodes got affected with dependents content and it's not getting fixed by workspace wipeout. During those scenarios, just follow below instaructions:
Go to Jenkins Job configuration page, Build section where maven configuration has been defined, click on Advanced option and select ""Use Private Maven Repository"", select option as ""Local to Workspace"" from drop down list, and save the configuration. Now trigger a new build post wiping out workspace. Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_job_build_compilation_fails_saying_compilation_error_what_to_do for further details
"
Getting compilation error for jenkins build,"There could be many reasons for this compilation error in your Jenkins job build. it can be possible due to:
**) Actual Code Compilation
There might be the chance when your actual code is not getting compiled properly, and so is the reason it's getting failed in Jenkins too. Best approach will be, always try to execute your build in your local machine/workspace before triggering the build from Jenkins for compiling new changes. Sometimes, you had to wipe out your .m2 repository content from your workspace to make sure, all your dependent package is getting downloaded during the build.

**) Missing dependent package
There might be a chance when your defined dependency didn't get downloaded during the build, either it was not available to download, or due to connection drop. Best approach will be to check the error for the missing dependency jar file and verify from the repository it's getting download from If it's due to connection drop, then you may want to wipe out your workspace and trigger a clean build. 

**) Corrupted dependent package got downloaded during build compilation
Quick workaround will be to wipe-out the workspace and trigger a fresh build, this will make sure that your broken package is getting downloaded properly this time
NOTE:  There might be chance that the .m2 repository of the Jenkins nodes got affected with dependents content and it's not getting fixed by workspace wipeout. During those scenarios, just follow below instaructions:
Go to Jenkins Job configuration page, Build section where maven configuration has been defined, click on Advanced option and select ""Use Private Maven Repository"", select option as ""Local to Workspace"" from drop down list, and save the configuration. Now trigger a new build post wiping out workspace. Please go to URL: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_job_build_compilation_fails_saying_compilation_error_what_to_do for further details
"
Build is failing due to duplicate in the reactor,"Artifact ID should not be the same in child pom.xml.
Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_duplicate_in_the_reactor
for further details"
Duplicate artifact ID issue,"Artifact ID should not be the same in child pom.xml.
Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_duplicate_in_the_reactor
for further details"
Build failed because of duplicate artifacts,"Artifact ID should not be the same in child pom.xml.
Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_duplicate_in_the_reactor
for further details"
Duplicate artifact ID in child pom.xml,"Artifact ID should not be the same in child pom.xml.
Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_duplicate_in_the_reactor
for further details"
Redundancy issue in pom.xml file,"Artifact ID should not be the same in child pom.xml.
Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_duplicate_in_the_reactor
for further details"
Same artifact ID in pom file,"Artifact ID should not be the same in child pom.xml.
Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_duplicate_in_the_reactor
for further details"
What are the steps for doing Artifactory staging/ Release build from Jenkins ?,"Please refer this url for the steps to be followed for triggering the staging artifactory build
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_What_are_the_steps_for_doing_Artifactory_staging_Release_build_from_Jenkins_"
Issue with staging artifactory build,"Please refer this url for the steps to be followed for triggering the staging artifactory build
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_What_are_the_steps_for_doing_Artifactory_staging_Release_build_from_Jenkins_"
Procedure for staging artifactory build,"Please refer this url for the steps to be followed for triggering the staging artifactory build
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_What_are_the_steps_for_doing_Artifactory_staging_Release_build_from_Jenkins_"
Steps for doing release build in Jenkins,"Please refer this url for the steps to be followed for triggering the staging artifactory build
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_What_are_the_steps_for_doing_Artifactory_staging_Release_build_from_Jenkins_"
Release build procedure ,"Please refer this url for the steps to be followed for triggering the staging artifactory build
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_What_are_the_steps_for_doing_Artifactory_staging_Release_build_from_Jenkins_"
Steps to be followed for staging artifactory build,"Please refer this url for the steps to be followed for triggering the staging artifactory build
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_What_are_the_steps_for_doing_Artifactory_staging_Release_build_from_Jenkins_"
Build is failing due to permgen size exception,"Step 1 :  Increase MaxPermSize in Maven_OPTS of job configuration
Step 2 : Need to add property ""-Xms512m -Xmx2048m -XX:MaxPermSize=1024m "" in Maven_Opts tab of Build configuration.
Please refer url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_permgen_size_exception
for further details
"
permgen exception issue,"Step 1 :  Increase MaxPermSize in Maven_OPTS of job configuration
Step 2 : Need to add property ""-Xms512m -Xmx2048m -XX:MaxPermSize=1024m "" in Maven_Opts tab of Build configuration.
Please refer url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_permgen_size_exception
for further details
"
Build failed because of permgen size issue,"Step 1 :  Increase MaxPermSize in Maven_OPTS of job configuration
Step 2 : Need to add property ""-Xms512m -Xmx2048m -XX:MaxPermSize=1024m "" in Maven_Opts tab of Build configuration.
Please refer url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_permgen_size_exception
for further details
"
Permgen size exception,"Step 1 :  Increase MaxPermSize in Maven_OPTS of job configuration
Step 2 : Need to add property ""-Xms512m -Xmx2048m -XX:MaxPermSize=1024m "" in Maven_Opts tab of Build configuration.
Please refer url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_permgen_size_exception
for further details
"
MaxPermSize issue during configuration,"Step 1 :  Increase MaxPermSize in Maven_OPTS of job configuration
Step 2 : Need to add property ""-Xms512m -Xmx2048m -XX:MaxPermSize=1024m "" in Maven_Opts tab of Build configuration.
Please refer url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_permgen_size_exception
for further details
"
After sonar upgrade sonar metrics are not getting in spark notification,Please reach out to code team as there are some modifications that need to be done from CDA end in order to get all the metrics to get displayed in spark notification.
spark notification issue,Please reach out to code team as there are some modifications that need to be done from CDA end in order to get all the metrics to get displayed in spark notification.
Issue with sonar metrics,Please reach out to code team as there are some modifications that need to be done from CDA end in order to get all the metrics to get displayed in spark notification.
Unable to get sonar metrics in spark,Please reach out to code team as there are some modifications that need to be done from CDA end in order to get all the metrics to get displayed in spark notification.
Could not get sonar upgrade  metrics in notification,Please reach out to code team as there are some modifications that need to be done from CDA end in order to get all the metrics to get displayed in spark notification.
Build is failing due to Unmappable character for encoding UTF8,"Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_Unmappable_character_for_encoding_UTF8
and add code snippet in build.xml
Also you can try to build your project using Private Maven Repository .. Please refer to the Private Maven Repository section in the attached document."
Unmappable character issue,"Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_Unmappable_character_for_encoding_UTF8
and add code snippet in build.xml
Also you can try to build your project using Private Maven Repository .. Please refer to the Private Maven Repository section in the attached document."
Build failed because of unmappable char,"Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_Unmappable_character_for_encoding_UTF8
and add code snippet in build.xml
Also you can try to build your project using Private Maven Repository .. Please refer to the Private Maven Repository section in the attached document."
Build is failing for unmappable chars,"Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_Unmappable_character_for_encoding_UTF8
and add code snippet in build.xml
Also you can try to build your project using Private Maven Repository .. Please refer to the Private Maven Repository section in the attached document."
Unmappable characters causing issue during build,"Please go to url: https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_Unmappable_character_for_encoding_UTF8
and add code snippet in build.xml
Also you can try to build your project using Private Maven Repository .. Please refer to the Private Maven Repository section in the attached document."
"SonarQube scan failed for error ""[ERROR] GC overhead limit exceeded -> [Help 1]""","Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
"What is ""[ERROR] GC overhead limit exceeded -> [Help 1]"" error","Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
What is SonarQube failed error,"Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
"How to resolve SonarQube failed error for ""[ERROR] GC overhead limit exceeded -> [Help 1]""","Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
"Can SonarQube failed error ""[ERROR] GC overhead limit exceeded -> [Help 1]"" be resolved?","Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
How can SonarQube failed error be resolved,"Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
"Way to resolve SonarQube ""[ERROR] GC overhead limit exceeded -> [Help 1]"" error","Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
"Where can I find solution for ""[ERROR] GC overhead limit exceeded -> [Help 1]"" error","Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
"What can be done for ""[ERROR] GC overhead limit exceeded -> [Help 1]"" error for SonarQube","Refer to the below URL for details:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_SonarQube_scan_failed_for_error_ERROR_GC_overhead_limit_exceeded__Help_1"
Unable to execute build on Jenkins,"Resolution :

Need to add jenkins-ci.gen to their respective adam groups"
How to execute build on Jenkins,"Resolution :

Need to add jenkins-ci.gen to their respective adam groups"
Why am I unable to execute build on Jenkins,"Resolution :

Need to add jenkins-ci.gen to their respective adam groups"
Way to execute build on Jenkins,"Resolution :

Need to add jenkins-ci.gen to their respective adam groups"
Jenkins build execution,"Resolution :

Need to add jenkins-ci.gen to their respective adam groups"
How is Jenkins build execution done?,"Resolution :

Need to add jenkins-ci.gen to their respective adam groups"
What is to be done to execute build on Jenkins,"Resolution :

Need to add jenkins-ci.gen to their respective adam groups"
Acquiring compatability with JDK 1.5,"Need to make changes under JDK version in POM.xml and should select JDK version as default in Jenkins Configuration.
For details check the URL given below:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Acquiring_compatability_with_JDK_15"
Way to acquire compatibility with JDK 1.5,"Need to make changes under JDK version in POM.xml and should select JDK version as default in Jenkins Configuration.
For details check the URL given below:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Acquiring_compatability_with_JDK_15"
How to acquire commpatibility with JDK 1.5,"Need to make changes under JDK version in POM.xml and should select JDK version as default in Jenkins Configuration.
For details check the URL given below:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Acquiring_compatability_with_JDK_15"
JDK 1.5 compatibility,"Need to make changes under JDK version in POM.xml and should select JDK version as default in Jenkins Configuration.
For details check the URL given below:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Acquiring_compatability_with_JDK_15"
Compatibility for JDK1.5,"Need to make changes under JDK version in POM.xml and should select JDK version as default in Jenkins Configuration.
For details check the URL given below:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Acquiring_compatability_with_JDK_15"
How to achieve compatibility with JDK 1.5,"Need to make changes under JDK version in POM.xml and should select JDK version as default in Jenkins Configuration.
For details check the URL given below:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Acquiring_compatability_with_JDK_15"
Not able to checkout code from Git,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
How to checkout code from Git?,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
Unable to checkout code from Git,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
Ways to checkout code from Gi,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
Checkout code from Git,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
Checking out code from Git,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
Code checkout Git,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
How to enable code checkout from Git,"If project Git URL has ""http"" in Jenkins , It will not check out the code. Replace ""http"" with ""ssh"".
For details check the below link:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_Git"
Not able to checkout code from SVN,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
Acquiring compatability with SVN,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
Way to acquire compatibility with SVN,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
How to acquire commpatibility with SVN,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
SVN compatibility,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
Compatibility for SVN,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
How to achieve compatibility with SVN,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
How is compatibility acquired with JDK 1.5,"Need to add jenkins-ci.gen to their respective adam groups.
For details, check the below URL:
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Not_able_to_checkout_code_from_SVN"
Build is failing due to user id 'xxxxxxx' is too big.,"Need to add below tag in maven-assembly-plugin under configuration tag in pom.xml
For details, check the below URL
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_user_id_xxxxxxx_is_too_big"
User id  build failing,"Need to add below tag in maven-assembly-plugin under configuration tag in pom.xml
For details, check the below URL
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_user_id_xxxxxxx_is_too_big"
Build failing due to user id,"Need to add below tag in maven-assembly-plugin under configuration tag in pom.xml
For details, check the below URL
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_user_id_xxxxxxx_is_too_big"
what to do when the build is failing because user id is too big,"Need to add below tag in maven-assembly-plugin under configuration tag in pom.xml
For details, check the below URL
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_user_id_xxxxxxx_is_too_big"
How to avoid build failing error due to big user id,"Need to add below tag in maven-assembly-plugin under configuration tag in pom.xml
For details, check the below URL
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_user_id_xxxxxxx_is_too_big"
Failing of build due to big user id,"Need to add below tag in maven-assembly-plugin under configuration tag in pom.xml
For details, check the below URL
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_user_id_xxxxxxx_is_too_big"
big user id build fail error,"Need to add below tag in maven-assembly-plugin under configuration tag in pom.xml
For details, check the below URL
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Build_is_failing_due_to_user_id_xxxxxxx_is_too_big"
